group_id	group_size	unique_text_count	majority_text_count	majority_text_ratio
00006	12	1	12	1.000000
00008	30	1	30	1.000000
00009	30	1	30	1.000000
00016	30	1	30	1.000000
00017	30	1	30	1.000000
00019	30	1	30	1.000000
00023	24	1	24	1.000000
00027	30	1	30	1.000000
00029	30	1	30	1.000000
00034	30	1	30	1.000000
00037	30	1	30	1.000000
00038	30	1	30	1.000000
00043	30	1	30	1.000000
00050	30	1	30	1.000000
00051	30	1	30	1.000000
00056	30	1	30	1.000000
00066	30	1	30	1.000000
00067	30	1	30	1.000000
00070	30	1	30	1.000000
00072	30	1	30	1.000000
00077	30	1	30	1.000000
00079	30	1	30	1.000000
00080	30	1	30	1.000000
00084	30	1	30	1.000000
00089	30	1	30	1.000000
00090	30	1	30	1.000000
00093	30	1	30	1.000000
00096	30	1	30	1.000000
00098	30	1	30	1.000000
00103	30	1	30	1.000000
00105	30	1	30	1.000000
00106	30	1	30	1.000000
00112	30	1	30	1.000000
00118	30	1	30	1.000000
00121	30	1	30	1.000000
00128	30	1	30	1.000000
00131	30	1	30	1.000000
00132	30	1	30	1.000000
00137	30	1	30	1.000000
00143	30	1	30	1.000000
00144	30	1	30	1.000000
00147	30	1	30	1.000000
00154	30	1	30	1.000000
00160	30	1	30	1.000000
00164	30	1	30	1.000000
00168	30	1	30	1.000000
00174	30	1	30	1.000000
00175	30	1	30	1.000000
00183	30	1	30	1.000000
00190	30	1	30	1.000000
00196	30	1	30	1.000000
00197	30	1	30	1.000000
00198	30	1	30	1.000000
00201	30	1	30	1.000000
00202	27	1	27	1.000000
00204	30	1	30	1.000000
00207	3	1	3	1.000000
00210	30	1	30	1.000000
00211	30	1	30	1.000000
00213	30	1	30	1.000000
00216	30	1	30	1.000000
00219	30	1	30	1.000000
00220	30	1	30	1.000000
00223	29	1	29	1.000000
00236	30	1	30	1.000000
00241	30	1	30	1.000000
00242	30	1	30	1.000000
00247	30	1	30	1.000000
00258	30	1	30	1.000000
00259	30	1	30	1.000000
00260	30	1	30	1.000000
00262	30	1	30	1.000000
00265	30	1	30	1.000000
00276	30	1	30	1.000000
00281	30	1	30	1.000000
00286	30	1	30	1.000000
00290	30	1	30	1.000000
00300	30	1	30	1.000000
00304	30	1	30	1.000000
00305	30	1	30	1.000000
00309	30	1	30	1.000000
00310	30	1	30	1.000000
00311	30	1	30	1.000000
00316	30	1	30	1.000000
00317	30	1	30	1.000000
00319	30	1	30	1.000000
00320	30	1	30	1.000000
00322	30	1	30	1.000000
00326	30	1	30	1.000000
00329	30	1	30	1.000000
00334	30	1	30	1.000000
00338	30	1	30	1.000000
00339	30	1	30	1.000000
00340	30	1	30	1.000000
00341	30	1	30	1.000000
00342	30	1	30	1.000000
00350	30	1	30	1.000000
00351	30	1	30	1.000000
00352	30	1	30	1.000000
00354	30	1	30	1.000000
00355	30	1	30	1.000000
00357	30	1	30	1.000000
00359	30	1	30	1.000000
00365	30	1	30	1.000000
00367	30	1	30	1.000000
00368	30	1	30	1.000000
00370	30	1	30	1.000000
