group_id	group_size	unique_text_count	majority_text_count	majority_text_ratio
00001	30	1	30	1.000000
00003	30	1	30	1.000000
00005	30	1	30	1.000000
00006	30	1	30	1.000000
00007	30	1	30	1.000000
00008	30	1	30	1.000000
00009	30	1	30	1.000000
00010	30	1	30	1.000000
00015	30	1	30	1.000000
00016	30	1	30	1.000000
00017	30	1	30	1.000000
00019	30	1	30	1.000000
00022	30	1	30	1.000000
00023	30	1	30	1.000000
00025	30	1	30	1.000000
00026	30	1	30	1.000000
00027	30	1	30	1.000000
00029	30	1	30	1.000000
00031	30	1	30	1.000000
00034	30	1	30	1.000000
00035	30	1	30	1.000000
00037	30	1	30	1.000000
00038	30	1	30	1.000000
00039	30	1	30	1.000000
00040	30	1	30	1.000000
00043	30	1	30	1.000000
00047	30	1	30	1.000000
00050	30	1	30	1.000000
00051	30	1	30	1.000000
00053	30	1	30	1.000000
00054	30	1	30	1.000000
00056	30	1	30	1.000000
00057	30	1	30	1.000000
00059	30	1	30	1.000000
00066	30	1	30	1.000000
00067	30	1	30	1.000000
00070	30	1	30	1.000000
00072	30	1	30	1.000000
00073	30	1	30	1.000000
00075	30	1	30	1.000000
00077	30	1	30	1.000000
00078	30	1	30	1.000000
00079	30	1	30	1.000000
00080	30	1	30	1.000000
00084	30	1	30	1.000000
00086	30	1	30	1.000000
00089	30	1	30	1.000000
00090	30	1	30	1.000000
00093	30	1	30	1.000000
00095	30	1	30	1.000000
00096	30	1	30	1.000000
00098	30	1	30	1.000000
00100	30	1	30	1.000000
00103	30	1	30	1.000000
00105	30	1	30	1.000000
00106	30	1	30	1.000000
00109	30	1	30	1.000000
00110	30	1	30	1.000000
00112	30	1	30	1.000000
00117	30	1	30	1.000000
00118	30	1	30	1.000000
00120	30	1	30	1.000000
00121	30	1	30	1.000000
00125	30	1	30	1.000000
00128	30	1	30	1.000000
00131	30	1	30	1.000000
00132	30	1	30	1.000000
00133	30	1	30	1.000000
00134	30	1	30	1.000000
00135	30	1	30	1.000000
00136	30	1	30	1.000000
00137	30	1	30	1.000000
00138	30	1	30	1.000000
00140	30	1	30	1.000000
00143	30	1	30	1.000000
00144	30	1	30	1.000000
00145	30	1	30	1.000000
00147	30	1	30	1.000000
00154	30	1	30	1.000000
00160	30	1	30	1.000000
00161	30	1	30	1.000000
00164	30	1	30	1.000000
00165	30	1	30	1.000000
00167	30	1	30	1.000000
00168	30	1	30	1.000000
00174	30	1	30	1.000000
00175	30	1	30	1.000000
00181	30	1	30	1.000000
00182	30	1	30	1.000000
00183	30	1	30	1.000000
00186	30	1	30	1.000000
00187	30	1	30	1.000000
