group_id	group_size	unique_text_count	majority_text_count	majority_text_ratio
cer2_000_000000	60	1	60	1.000000
cer2_000_000001	60	1	60	1.000000
cer2_000_000002	60	1	60	1.000000
cer2_000_000003	60	1	60	1.000000
cer2_000_000004	60	1	60	1.000000
cer2_000_000005	60	1	60	1.000000
cer2_000_000006	60	1	60	1.000000
cer2_000_000007	60	1	60	1.000000
cer2_000_000008	60	1	60	1.000000
cer2_000_000009	60	1	60	1.000000
cer2_000_000010	60	1	60	1.000000
cer2_000_000011	60	1	60	1.000000
cer2_000_000012	60	1	60	1.000000
cer2_000_000013	60	1	60	1.000000
cer2_000_000014	60	1	60	1.000000
cer2_000_000015	60	1	60	1.000000
cer2_000_000016	60	1	60	1.000000
cer2_000_000017	60	1	60	1.000000
cer2_000_000018	60	1	60	1.000000
cer2_000_000019	60	1	60	1.000000
cer2_000_000020	60	1	60	1.000000
cer2_000_000021	60	1	60	1.000000
cer2_000_000022	60	1	60	1.000000
cer2_000_000023	60	1	60	1.000000
cer2_000_000024	60	1	60	1.000000
cer2_000_000025	60	1	60	1.000000
cer2_000_000026	60	1	60	1.000000
cer2_000_000027	60	1	60	1.000000
cer2_000_000028	60	1	60	1.000000
cer2_000_000029	60	1	60	1.000000
cer2_000_000030	60	1	60	1.000000
cer2_000_000031	60	1	60	1.000000
cer2_000_000032	60	1	60	1.000000
cer2_000_000033	60	1	60	1.000000
cer2_000_000034	60	1	60	1.000000
cer2_000_000035	60	1	60	1.000000
cer2_000_000036	60	1	60	1.000000
cer2_000_000037	60	1	60	1.000000
cer2_000_000038	60	1	60	1.000000
cer2_000_000039	60	1	60	1.000000
cer2_000_000040	60	1	60	1.000000
cer2_000_000041	60	1	60	1.000000
cer2_000_000042	60	1	60	1.000000
cer2_000_000043	60	1	60	1.000000
cer2_000_000044	60	1	60	1.000000
cer2_000_000045	60	1	60	1.000000
cer2_001_000000	60	1	60	1.000000
cer2_001_000001	60	1	60	1.000000
cer2_001_000002	60	1	60	1.000000
cer2_001_000003	60	1	60	1.000000
cer2_001_000004	60	1	60	1.000000
cer2_001_000005	60	1	60	1.000000
cer2_001_000006	60	1	60	1.000000
cer2_001_000007	60	1	60	1.000000
cer2_001_000008	60	1	60	1.000000
cer2_001_000009	60	1	60	1.000000
cer2_001_000010	60	1	60	1.000000
cer2_001_000011	60	1	60	1.000000
cer2_001_000012	60	1	60	1.000000
cer2_001_000013	60	1	60	1.000000
cer2_001_000014	60	1	60	1.000000
cer2_001_000015	60	1	60	1.000000
cer2_001_000016	60	1	60	1.000000
cer2_001_000017	60	1	60	1.000000
cer2_001_000018	60	1	60	1.000000
cer2_001_000019	60	1	60	1.000000
cer2_001_000020	60	1	60	1.000000
cer2_002_000000	60	1	60	1.000000
cer2_002_000001	60	1	60	1.000000
cer2_002_000002	60	1	60	1.000000
cer2_002_000003	60	1	60	1.000000
cer2_002_000004	60	1	60	1.000000
cer2_002_000005	60	1	60	1.000000
cer2_002_000006	60	1	60	1.000000
cer2_002_000007	60	1	60	1.000000
cer2_002_000008	60	1	60	1.000000
cer2_002_000009	60	1	60	1.000000
cer2_002_000010	60	1	60	1.000000
cer2_002_000011	60	1	60	1.000000
cer2_002_000012	60	1	60	1.000000
cer2_002_000013	60	1	60	1.000000
cer2_002_000014	60	1	60	1.000000
cer2_002_000015	60	1	60	1.000000
cer2_002_000016	60	1	60	1.000000
cer2_002_000017	60	1	60	1.000000
cer2_002_000018	60	1	60	1.000000
cer2_002_000019	60	1	60	1.000000
cer2_003_000000	60	1	60	1.000000
cer2_003_000001	60	1	60	1.000000
cer2_003_000002	60	1	60	1.000000
cer2_003_000003	60	1	60	1.000000
cer2_003_000004	60	1	60	1.000000
cer2_003_000005	60	1	60	1.000000
cer2_003_000006	60	1	60	1.000000
cer2_003_000007	60	1	60	1.000000
cer2_003_000008	60	1	60	1.000000
cer2_003_000009	60	1	60	1.000000
cer2_003_000010	60	1	60	1.000000
cer2_003_000011	60	1	60	1.000000
cer2_003_000012	60	1	60	1.000000
cer2_003_000013	60	1	60	1.000000
cer2_003_000014	60	1	60	1.000000
cer2_003_000015	60	1	60	1.000000
cer2_003_000016	60	1	60	1.000000
cer2_003_000017	60	1	60	1.000000
cer2_003_000018	60	1	60	1.000000
cer2_003_000019	60	1	60	1.000000
cer2_003_000020	60	1	60	1.000000
cer2_004_000000	60	1	60	1.000000
cer2_004_000001	60	1	60	1.000000
cer2_004_000002	60	1	60	1.000000
cer2_004_000003	60	1	60	1.000000
cer2_004_000004	60	1	60	1.000000
cer2_004_000005	60	1	60	1.000000
cer2_004_000006	60	1	60	1.000000
cer2_004_000007	60	1	60	1.000000
cer2_004_000008	60	1	60	1.000000
cer2_004_000009	60	1	60	1.000000
cer2_004_000010	60	1	60	1.000000
cer2_004_000011	60	1	60	1.000000
cer2_004_000012	60	1	60	1.000000
cer2_004_000013	60	1	60	1.000000
cer2_004_000014	60	1	60	1.000000
cer2_004_000015	60	1	60	1.000000
cer2_004_000016	60	1	60	1.000000
cer2_004_000017	60	1	60	1.000000
cer2_004_000018	60	1	60	1.000000
cer2_004_000019	60	1	60	1.000000
cer2_004_000020	60	1	60	1.000000
cer2_004_000021	60	1	60	1.000000
cer2_005_000000	60	1	60	1.000000
cer2_005_000001	60	1	60	1.000000
cer2_005_000002	60	1	60	1.000000
cer2_005_000003	60	1	60	1.000000
cer2_005_000004	60	1	60	1.000000
cer2_005_000005	60	1	60	1.000000
cer2_005_000006	60	1	60	1.000000
cer2_005_000007	60	1	60	1.000000
cer2_005_000008	60	1	60	1.000000
cer2_005_000009	60	1	60	1.000000
cer2_005_000010	60	1	60	1.000000
cer2_005_000011	60	1	60	1.000000
cer2_005_000012	60	1	60	1.000000
cer2_005_000013	60	1	60	1.000000
cer2_005_000014	60	1	60	1.000000
cer2_005_000015	60	1	60	1.000000
cer2_005_000016	60	1	60	1.000000
cer2_005_000017	60	1	60	1.000000
cer2_005_000018	60	1	60	1.000000
cer2_006_000000	60	1	60	1.000000
cer2_006_000001	60	1	60	1.000000
cer2_006_000002	60	1	60	1.000000
cer2_006_000003	60	1	60	1.000000
cer2_006_000004	60	1	60	1.000000
cer2_006_000005	60	1	60	1.000000
cer2_006_000006	60	1	60	1.000000
cer2_006_000007	60	1	60	1.000000
cer2_006_000008	60	1	60	1.000000
cer2_006_000009	60	1	60	1.000000
cer2_006_000010	60	1	60	1.000000
cer2_006_000011	60	1	60	1.000000
cer2_006_000012	60	1	60	1.000000
cer2_006_000013	60	1	60	1.000000
cer2_006_000014	60	1	60	1.000000
cer2_006_000015	60	1	60	1.000000
cer2_006_000016	60	1	60	1.000000
cer2_006_000017	60	1	60	1.000000
cer2_006_000018	60	1	60	1.000000
cer2_006_000019	60	1	60	1.000000
cer2_006_000020	60	1	60	1.000000
cer2_007_000000	60	1	60	1.000000
cer2_007_000001	60	1	60	1.000000
cer2_007_000002	60	1	60	1.000000
cer2_007_000003	60	1	60	1.000000
cer2_007_000004	60	1	60	1.000000
cer2_007_000005	60	1	60	1.000000
cer2_007_000006	60	1	60	1.000000
cer2_007_000007	60	1	60	1.000000
cer2_007_000008	60	1	60	1.000000
cer2_007_000009	60	1	60	1.000000
cer2_007_000010	60	1	60	1.000000
cer2_007_000011	60	1	60	1.000000
cer2_007_000012	60	1	60	1.000000
cer2_007_000013	60	1	60	1.000000
cer2_007_000014	60	1	60	1.000000
cer2_007_000015	60	1	60	1.000000
cer2_007_000016	60	1	60	1.000000
cer2_007_000017	60	1	60	1.000000
cer2_007_000018	60	1	60	1.000000
