utt	wav_path	cluster_id	dist_to_cluster_center	is_outlier	pca_0	pca_1	pca_2
00006_000	/home/work_nfs22/xmren/data/kefu/90w_tokens/00006_000.wav	19	6.795990	0	-2.020709	4.545972	-2.223818
00006_012	/home/work_nfs22/xmren/data/kefu/90w_tokens/00006_012.wav	19	7.073901	0	-3.333974	4.253443	1.213680
00006_020	/home/work_nfs22/xmren/data/kefu/90w_tokens/00006_020.wav	19	8.534616	0	-2.603289	4.147367	-0.135441
00008_000	/home/work_nfs22/xmren/data/kefu/90w_tokens/00008_000.wav	20	8.523389	0	-1.261146	2.912543	-4.007627
00008_010	/home/work_nfs22/xmren/data/kefu/90w_tokens/00008_010.wav	19	9.228847	0	-1.715328	2.908992	-5.933512
00008_020	/home/work_nfs22/xmren/data/kefu/90w_tokens/00008_020.wav	3	7.854774	0	-2.315566	2.735053	-4.628049
00009_000	/home/work_nfs22/xmren/data/kefu/90w_tokens/00009_000.wav	11	8.673857	0	1.232473	-0.996357	-3.876943
00009_010	/home/work_nfs22/xmren/data/kefu/90w_tokens/00009_010.wav	0	11.400959	0	0.814356	0.315319	-3.316815
00009_020	/home/work_nfs22/xmren/data/kefu/90w_tokens/00009_020.wav	11	8.654208	0	3.349184	-4.265245	-6.454114
00016_000	/home/work_nfs22/xmren/data/kefu/90w_tokens/00016_000.wav	7	10.383049	0	7.304144	-6.193220	-5.722207
00016_010	/home/work_nfs22/xmren/data/kefu/90w_tokens/00016_010.wav	7	11.463238	0	4.632341	-3.783092	-0.931034
00016_020	/home/work_nfs22/xmren/data/kefu/90w_tokens/00016_020.wav	12	11.924975	0	5.968884	-5.322167	-0.944117
00017_000	/home/work_nfs22/xmren/data/kefu/90w_tokens/00017_000.wav	3	7.514499	0	-0.420341	2.731015	-3.618041
00017_010	/home/work_nfs22/xmren/data/kefu/90w_tokens/00017_010.wav	19	10.135139	0	-0.543051	2.256264	-4.411921
00017_020	/home/work_nfs22/xmren/data/kefu/90w_tokens/00017_020.wav	19	8.563755	0	-2.121468	2.164073	-2.735085
00019_000	/home/work_nfs22/xmren/data/kefu/90w_tokens/00019_000.wav	18	16.628399	0	-14.321889	-6.361719	-0.678934
00019_010	/home/work_nfs22/xmren/data/kefu/90w_tokens/00019_010.wav	1	17.262268	0	3.817975	-2.619272	1.609513
00019_020	/home/work_nfs22/xmren/data/kefu/90w_tokens/00019_020.wav	1	17.243805	0	1.542209	1.505310	1.888523
00023_000	/home/work_nfs22/xmren/data/kefu/90w_tokens/00023_000.wav	14	13.152968	0	-1.148476	1.788081	0.129891
00023_010	/home/work_nfs22/xmren/data/kefu/90w_tokens/00023_010.wav	18	12.246542	0	-11.690300	-9.663475	0.755306
00023_020	/home/work_nfs22/xmren/data/kefu/90w_tokens/00023_020.wav	1	12.524659	0	-0.752628	-1.554539	-2.462968
00027_000	/home/work_nfs22/xmren/data/kefu/90w_tokens/00027_000.wav	28	16.089737	0	1.987576	-2.525534	4.797735
00027_010	/home/work_nfs22/xmren/data/kefu/90w_tokens/00027_010.wav	22	14.973126	0	-7.757995	-8.353178	0.878847
00027_020	/home/work_nfs22/xmren/data/kefu/90w_tokens/00027_020.wav	2	15.150777	0	4.178947	-4.802802	7.685315
00029_000	/home/work_nfs22/xmren/data/kefu/90w_tokens/00029_000.wav	6	14.638081	0	-9.018242	-5.313900	-4.966619
00029_010	/home/work_nfs22/xmren/data/kefu/90w_tokens/00029_010.wav	18	12.244407	0	-15.283763	-7.634407	-1.836062
00029_020	/home/work_nfs22/xmren/data/kefu/90w_tokens/00029_020.wav	6	11.343596	0	-13.501600	-6.917676	-2.457244
00034_000	/home/work_nfs22/xmren/data/kefu/90w_tokens/00034_000.wav	9	19.277262	1	0.175971	-6.185579	6.062414
00034_010	/home/work_nfs22/xmren/data/kefu/90w_tokens/00034_010.wav	28	18.845837	0	-0.671339	-1.913370	4.476515
00034_020	/home/work_nfs22/xmren/data/kefu/90w_tokens/00034_020.wav	15	18.961203	1	-14.064406	-8.601001	2.500929
00037_000	/home/work_nfs22/xmren/data/kefu/90w_tokens/00037_000.wav	25	7.810903	0	-0.904221	3.808218	-0.737413
00037_010	/home/work_nfs22/xmren/data/kefu/90w_tokens/00037_010.wav	14	8.191850	0	0.021590	2.210364	-3.393057
00037_020	/home/work_nfs22/xmren/data/kefu/90w_tokens/00037_020.wav	19	8.549515	0	-1.357652	3.888004	-3.219790
00038_000	/home/work_nfs22/xmren/data/kefu/90w_tokens/00038_000.wav	14	8.507488	0	-0.868261	2.320885	-1.334960
00038_010	/home/work_nfs22/xmren/data/kefu/90w_tokens/00038_010.wav	20	8.339479	0	-0.069621	4.082647	-2.366528
00038_020	/home/work_nfs22/xmren/data/kefu/90w_tokens/00038_020.wav	20	8.552778	0	-0.939492	4.140593	0.855480
00043_000	/home/work_nfs22/xmren/data/kefu/90w_tokens/00043_000.wav	27	12.997838	0	2.722651	-2.719836	1.731730
00043_010	/home/work_nfs22/xmren/data/kefu/90w_tokens/00043_010.wav	27	14.420997	0	2.591786	-1.250017	-1.122342
00043_020	/home/work_nfs22/xmren/data/kefu/90w_tokens/00043_020.wav	27	17.506847	0	-1.058957	1.029707	-1.022267
00050_000	/home/work_nfs22/xmren/data/kefu/90w_tokens/00050_000.wav	2	11.886713	0	3.636645	-0.050630	4.360485
00050_010	/home/work_nfs22/xmren/data/kefu/90w_tokens/00050_010.wav	2	15.191298	0	4.135611	-1.961516	0.755064
00050_020	/home/work_nfs22/xmren/data/kefu/90w_tokens/00050_020.wav	2	14.274445	0	2.464156	-4.307521	5.345449
00051_000	/home/work_nfs22/xmren/data/kefu/90w_tokens/00051_000.wav	5	15.370834	0	2.155578	-1.396745	12.100084
00051_010	/home/work_nfs22/xmren/data/kefu/90w_tokens/00051_010.wav	5	12.544911	0	-0.398574	-3.361867	10.689838
00051_020	/home/work_nfs22/xmren/data/kefu/90w_tokens/00051_020.wav	5	15.020771	0	-0.005364	0.872201	13.815781
00056_000	/home/work_nfs22/xmren/data/kefu/90w_tokens/00056_000.wav	11	8.694316	0	1.649427	-1.668956	-4.254536
00056_010	/home/work_nfs22/xmren/data/kefu/90w_tokens/00056_010.wav	11	10.607883	0	-1.621399	-1.675228	-5.109003
00056_020	/home/work_nfs22/xmren/data/kefu/90w_tokens/00056_020.wav	11	11.504352	0	-1.283133	-2.457989	-4.123664
00066_000	/home/work_nfs22/xmren/data/kefu/90w_tokens/00066_000.wav	29	12.435112	0	7.091872	-5.810731	1.648141
00066_010	/home/work_nfs22/xmren/data/kefu/90w_tokens/00066_010.wav	29	11.517310	0	2.607460	-3.463037	2.390827
00066_020	/home/work_nfs22/xmren/data/kefu/90w_tokens/00066_020.wav	29	9.209996	0	3.427459	-3.679123	2.151992
00067_000	/home/work_nfs22/xmren/data/kefu/90w_tokens/00067_000.wav	19	8.802828	0	-2.574497	2.242661	-2.710636
00067_010	/home/work_nfs22/xmren/data/kefu/90w_tokens/00067_010.wav	0	6.658885	0	0.694505	2.199354	-3.192484
00067_020	/home/work_nfs22/xmren/data/kefu/90w_tokens/00067_020.wav	19	8.423398	0	-1.196341	2.803282	-2.540418
00070_000	/home/work_nfs22/xmren/data/kefu/90w_tokens/00070_000.wav	22	16.515354	0	-5.659540	-9.032146	2.566266
00070_010	/home/work_nfs22/xmren/data/kefu/90w_tokens/00070_010.wav	1	14.429139	0	-1.963544	-0.897837	5.313143
00070_020	/home/work_nfs22/xmren/data/kefu/90w_tokens/00070_020.wav	1	13.090986	0	-1.958712	-1.341462	-0.674530
00072_000	/home/work_nfs22/xmren/data/kefu/90w_tokens/00072_000.wav	2	11.504364	0	1.908316	0.454153	3.850655
00072_010	/home/work_nfs22/xmren/data/kefu/90w_tokens/00072_010.wav	8	12.152983	0	1.316533	-0.222761	5.879286
00072_020	/home/work_nfs22/xmren/data/kefu/90w_tokens/00072_020.wav	28	10.392743	0	0.286351	1.899080	4.476538
00077_000	/home/work_nfs22/xmren/data/kefu/90w_tokens/00077_000.wav	14	9.301729	0	0.549896	1.220748	0.458596
00077_010	/home/work_nfs22/xmren/data/kefu/90w_tokens/00077_010.wav	0	8.296806	0	0.521091	1.948881	-0.784604
00077_020	/home/work_nfs22/xmren/data/kefu/90w_tokens/00077_020.wav	9	9.369524	0	3.345308	0.056030	0.040679
00079_000	/home/work_nfs22/xmren/data/kefu/90w_tokens/00079_000.wav	4	11.423551	0	5.243827	-3.514398	-2.379939
00079_010	/home/work_nfs22/xmren/data/kefu/90w_tokens/00079_010.wav	4	9.442162	0	7.584363	-6.367345	-4.807150
00079_020	/home/work_nfs22/xmren/data/kefu/90w_tokens/00079_020.wav	7	11.092434	0	7.654593	-5.565206	-9.869254
00080_000	/home/work_nfs22/xmren/data/kefu/90w_tokens/00080_000.wav	14	8.220093	0	-1.914300	4.349281	2.277286
00080_010	/home/work_nfs22/xmren/data/kefu/90w_tokens/00080_010.wav	14	7.401754	0	-2.202796	3.815647	-1.214606
00080_020	/home/work_nfs22/xmren/data/kefu/90w_tokens/00080_020.wav	14	6.433747	0	0.626465	3.044102	-0.564282
00084_000	/home/work_nfs22/xmren/data/kefu/90w_tokens/00084_000.wav	14	6.224556	0	-0.042474	3.787401	0.250839
00084_010	/home/work_nfs22/xmren/data/kefu/90w_tokens/00084_010.wav	0	7.557872	0	0.924886	3.576140	0.412808
00084_020	/home/work_nfs22/xmren/data/kefu/90w_tokens/00084_020.wav	14	8.913775	0	1.242684	3.099566	-0.683906
00089_000	/home/work_nfs22/xmren/data/kefu/90w_tokens/00089_000.wav	14	8.680193	0	-0.304994	3.274607	-0.426676
00089_010	/home/work_nfs22/xmren/data/kefu/90w_tokens/00089_010.wav	19	8.027415	0	-1.609953	4.242134	-1.432070
00089_020	/home/work_nfs22/xmren/data/kefu/90w_tokens/00089_020.wav	20	8.290512	0	0.381788	4.209686	-0.893281
00090_000	/home/work_nfs22/xmren/data/kefu/90w_tokens/00090_000.wav	11	15.523018	0	3.437800	-1.820539	-2.104543
00090_010	/home/work_nfs22/xmren/data/kefu/90w_tokens/00090_010.wav	2	12.523464	0	5.711502	-0.560530	2.314914
00090_020	/home/work_nfs22/xmren/data/kefu/90w_tokens/00090_020.wav	9	14.012949	0	3.633476	-2.264862	0.552061
00093_000	/home/work_nfs22/xmren/data/kefu/90w_tokens/00093_000.wav	20	7.966299	0	-1.950992	3.460698	0.129051
00093_010	/home/work_nfs22/xmren/data/kefu/90w_tokens/00093_010.wav	19	10.985183	0	-4.226300	4.283289	-2.886349
00093_020	/home/work_nfs22/xmren/data/kefu/90w_tokens/00093_020.wav	19	10.803837	0	-4.004946	4.432252	1.016654
00096_000	/home/work_nfs22/xmren/data/kefu/90w_tokens/00096_000.wav	0	12.802027	0	0.725211	2.526983	-0.260170
00096_010	/home/work_nfs22/xmren/data/kefu/90w_tokens/00096_010.wav	0	14.081263	0	3.381880	1.313228	0.426086
00096_020	/home/work_nfs22/xmren/data/kefu/90w_tokens/00096_020.wav	0	11.860971	0	2.307055	0.011861	-3.103098
00098_000	/home/work_nfs22/xmren/data/kefu/90w_tokens/00098_000.wav	4	12.586059	0	4.841573	-4.239326	-2.649632
00098_010	/home/work_nfs22/xmren/data/kefu/90w_tokens/00098_010.wav	4	13.686281	0	4.117430	-3.527553	-0.640105
00098_020	/home/work_nfs22/xmren/data/kefu/90w_tokens/00098_020.wav	11	14.441820	0	4.680716	-5.589195	-4.383894
00103_000	/home/work_nfs22/xmren/data/kefu/90w_tokens/00103_000.wav	14	7.939479	0	0.996898	1.669314	-1.660873
00103_010	/home/work_nfs22/xmren/data/kefu/90w_tokens/00103_010.wav	25	9.898762	0	1.981107	0.668140	2.502808
00103_020	/home/work_nfs22/xmren/data/kefu/90w_tokens/00103_020.wav	14	7.643238	0	0.052546	2.396978	-1.246902
00105_000	/home/work_nfs22/xmren/data/kefu/90w_tokens/00105_000.wav	0	15.955092	0	0.996434	-1.101646	0.569076
00105_010	/home/work_nfs22/xmren/data/kefu/90w_tokens/00105_010.wav	8	18.278151	0	1.903445	-2.237152	1.086397
00105_020	/home/work_nfs22/xmren/data/kefu/90w_tokens/00105_020.wav	0	14.674250	0	1.615322	-2.582977	-1.577187
00106_000	/home/work_nfs22/xmren/data/kefu/90w_tokens/00106_000.wav	3	15.557152	0	-3.410248	0.254045	0.610317
00106_010	/home/work_nfs22/xmren/data/kefu/90w_tokens/00106_010.wav	3	13.281975	0	0.464899	2.172925	-2.120076
00106_020	/home/work_nfs22/xmren/data/kefu/90w_tokens/00106_020.wav	3	13.964085	0	1.604142	0.366376	-3.899381
00112_000	/home/work_nfs22/xmren/data/kefu/90w_tokens/00112_000.wav	16	12.456334	0	4.423129	-1.853039	-1.709498
00112_010	/home/work_nfs22/xmren/data/kefu/90w_tokens/00112_010.wav	8	12.428560	0	1.621107	-0.167488	0.426500
00112_020	/home/work_nfs22/xmren/data/kefu/90w_tokens/00112_020.wav	18	10.924834	0	-14.508329	-8.917629	-1.268231
00118_000	/home/work_nfs22/xmren/data/kefu/90w_tokens/00118_000.wav	19	10.451888	0	-2.279489	3.709014	1.099277
00118_010	/home/work_nfs22/xmren/data/kefu/90w_tokens/00118_010.wav	6	13.407104	0	-14.582557	-8.499757	-1.569918
00118_020	/home/work_nfs22/xmren/data/kefu/90w_tokens/00118_020.wav	6	14.916192	0	-13.787608	-4.681597	-0.717523
00121_000	/home/work_nfs22/xmren/data/kefu/90w_tokens/00121_000.wav	7	8.732235	0	8.813405	-5.110375	-1.702207
00121_010	/home/work_nfs22/xmren/data/kefu/90w_tokens/00121_010.wav	7	12.175301	0	4.797443	-4.672377	1.194678
00121_020	/home/work_nfs22/xmren/data/kefu/90w_tokens/00121_020.wav	12	8.659786	0	6.046073	-4.732682	-0.267318
