utt	wav_path	cluster_id	dist_to_cluster_center	is_outlier	tsne_x	tsne_y
00006_000	/home/work_nfs22/xmren/data/kefu/90w_tokens/00006_000.wav	19	6.795990	0	-10.113430	-11.051177
00006_012	/home/work_nfs22/xmren/data/kefu/90w_tokens/00006_012.wav	19	7.073901	0	-2.496734	-13.884566
00006_020	/home/work_nfs22/xmren/data/kefu/90w_tokens/00006_020.wav	19	8.534616	0	-10.103644	-11.236093
00008_000	/home/work_nfs22/xmren/data/kefu/90w_tokens/00008_000.wav	20	8.523389	0	-7.651997	-7.768853
00008_010	/home/work_nfs22/xmren/data/kefu/90w_tokens/00008_010.wav	19	9.228847	0	-8.384578	-7.781738
00008_020	/home/work_nfs22/xmren/data/kefu/90w_tokens/00008_020.wav	3	7.854774	0	-7.314247	-7.283035
00009_000	/home/work_nfs22/xmren/data/kefu/90w_tokens/00009_000.wav	11	8.673857	0	-8.880231	18.139235
00009_010	/home/work_nfs22/xmren/data/kefu/90w_tokens/00009_010.wav	0	11.400959	0	-16.223015	-6.090791
00009_020	/home/work_nfs22/xmren/data/kefu/90w_tokens/00009_020.wav	11	8.654208	0	-7.756882	18.069441
00016_000	/home/work_nfs22/xmren/data/kefu/90w_tokens/00016_000.wav	7	10.383049	0	5.755907	36.571907
00016_010	/home/work_nfs22/xmren/data/kefu/90w_tokens/00016_010.wav	7	11.463238	0	11.956261	38.565811
00016_020	/home/work_nfs22/xmren/data/kefu/90w_tokens/00016_020.wav	12	11.924975	0	6.063694	43.351997
00017_000	/home/work_nfs22/xmren/data/kefu/90w_tokens/00017_000.wav	3	7.514499	0	-5.170852	-7.002168
00017_010	/home/work_nfs22/xmren/data/kefu/90w_tokens/00017_010.wav	19	10.135139	0	-14.648380	11.402438
00017_020	/home/work_nfs22/xmren/data/kefu/90w_tokens/00017_020.wav	19	8.563755	0	-7.259541	-9.536979
00019_000	/home/work_nfs22/xmren/data/kefu/90w_tokens/00019_000.wav	18	16.628399	0	-17.394209	-40.620670
00019_010	/home/work_nfs22/xmren/data/kefu/90w_tokens/00019_010.wav	1	17.262268	0	-10.172935	13.481200
00019_020	/home/work_nfs22/xmren/data/kefu/90w_tokens/00019_020.wav	1	17.243805	0	-10.414250	13.468428
00023_000	/home/work_nfs22/xmren/data/kefu/90w_tokens/00023_000.wav	14	13.152968	0	-4.818146	-22.469971
00023_010	/home/work_nfs22/xmren/data/kefu/90w_tokens/00023_010.wav	18	12.246542	0	-19.911594	-38.989880
00023_020	/home/work_nfs22/xmren/data/kefu/90w_tokens/00023_020.wav	1	12.524659	0	-7.648108	13.260606
00027_000	/home/work_nfs22/xmren/data/kefu/90w_tokens/00027_000.wav	28	16.089737	0	-11.791250	3.798065
00027_010	/home/work_nfs22/xmren/data/kefu/90w_tokens/00027_010.wav	22	14.973126	0	-15.014657	-28.546873
00027_020	/home/work_nfs22/xmren/data/kefu/90w_tokens/00027_020.wav	2	15.150777	0	18.088055	3.163835
00029_000	/home/work_nfs22/xmren/data/kefu/90w_tokens/00029_000.wav	6	14.638081	0	-16.991743	-31.598391
00029_010	/home/work_nfs22/xmren/data/kefu/90w_tokens/00029_010.wav	18	12.244407	0	-19.641066	-37.306828
00029_020	/home/work_nfs22/xmren/data/kefu/90w_tokens/00029_020.wav	6	11.343596	0	-17.610996	-35.110126
00034_000	/home/work_nfs22/xmren/data/kefu/90w_tokens/00034_000.wav	9	19.277262	1	13.936876	6.098947
00034_010	/home/work_nfs22/xmren/data/kefu/90w_tokens/00034_010.wav	28	18.845837	0	14.532886	2.932351
00034_020	/home/work_nfs22/xmren/data/kefu/90w_tokens/00034_020.wav	15	18.961203	1	-18.883354	-40.584621
00037_000	/home/work_nfs22/xmren/data/kefu/90w_tokens/00037_000.wav	25	7.810903	0	5.308434	-8.195085
00037_010	/home/work_nfs22/xmren/data/kefu/90w_tokens/00037_010.wav	14	8.191850	0	-7.382228	-6.645798
