# 流程: per-utt WavLM-large(SV) embedding -> StandardScaler -> PCA 正交坐标 -> KMeans(k=1) -> 离群=到所属簇中心距离 >= 全局 98% 分位
# n_samples=46888 n_outliers=938 pca_dim=64 kmeans_k=1
# pca_explained_variance_ratio_sum=0.795683 dist_threshold=23.979764
utt	wav_path	dist_to_cluster_center	cluster_id	pca_0	pca_1	pca_2
00019_000	/home/work_nfs22/xmren/data/kefu/90w_tokens/00019_000.wav	24.293890	0	-16.145355	0.853087	0.999649
00034_020	/home/work_nfs22/xmren/data/kefu/90w_tokens/00034_020.wav	26.820757	0	-16.492064	3.055571	-1.249669
00051_000	/home/work_nfs22/xmren/data/kefu/90w_tokens/00051_000.wav	24.070547	0	1.927690	3.473143	-8.163681
00160_000	/home/work_nfs22/xmren/data/kefu/90w_tokens/00160_000.wav	24.538990	0	-16.884233	2.259614	-1.166390
00216_000	/home/work_nfs22/xmren/data/kefu/90w_tokens/00216_000.wav	27.033892	0	-16.934113	8.555840	-1.203696
00241_000	/home/work_nfs22/xmren/data/kefu/90w_tokens/00241_000.wav	25.316217	0	-17.682665	4.438972	-0.024344
00426_010	/home/work_nfs22/xmren/data/kefu/90w_tokens/00426_010.wav	26.139502	0	-0.637411	5.124547	-12.853535
00457_000	/home/work_nfs22/xmren/data/kefu/90w_tokens/00457_000.wav	26.285740	0	-15.316455	4.962148	3.242142
00495_010	/home/work_nfs22/xmren/data/kefu/90w_tokens/00495_010.wav	28.032867	0	-18.154842	4.516749	-2.660033
00558_021	/home/work_nfs22/xmren/data/kefu/90w_tokens/00558_021.wav	24.438988	0	0.427790	2.934178	-13.075237
00605_000	/home/work_nfs22/xmren/data/kefu/90w_tokens/00605_000.wav	26.743376	0	-13.344657	9.076302	-4.829714
00605_020	/home/work_nfs22/xmren/data/kefu/90w_tokens/00605_020.wav	25.555098	0	-16.704754	5.741665	-3.182972
00617_000	/home/work_nfs22/xmren/data/kefu/90w_tokens/00617_000.wav	24.762434	0	-16.855547	9.411766	-4.489028
00642_010	/home/work_nfs22/xmren/data/kefu/90w_tokens/00642_010.wav	24.476686	0	-17.074932	2.091883	3.380551
00692_010	/home/work_nfs22/xmren/data/kefu/90w_tokens/00692_010.wav	26.657408	0	-18.192675	5.800767	1.710380
00794_010	/home/work_nfs22/xmren/data/kefu/90w_tokens/00794_010.wav	24.732971	0	-16.084129	3.449598	2.464006
00911_000	/home/work_nfs22/xmren/data/kefu/90w_tokens/00911_000.wav	28.387049	0	-0.003287	8.114424	0.262742
00957_010	/home/work_nfs22/xmren/data/kefu/90w_tokens/00957_010.wav	24.160303	0	-18.786366	4.183686	-0.650502
00958_000	/home/work_nfs22/xmren/data/kefu/90w_tokens/00958_000.wav	24.518526	0	-18.317894	4.415651	-3.044847
00958_020	/home/work_nfs22/xmren/data/kefu/90w_tokens/00958_020.wav	28.795393	0	-16.057228	5.141142	-5.219307
00994_010	/home/work_nfs22/xmren/data/kefu/90w_tokens/00994_010.wav	26.221014	0	-15.265219	7.734464	-1.338641
01010_000	/home/work_nfs22/xmren/data/kefu/90w_tokens/01010_000.wav	24.278173	0	-14.336782	5.075667	2.980207
01081_000	/home/work_nfs22/xmren/data/kefu/90w_tokens/01081_000.wav	24.379080	0	-3.268884	0.814598	-14.206965
01086_020	/home/work_nfs22/xmren/data/kefu/90w_tokens/01086_020.wav	24.960632	0	-16.077873	6.138512	-3.575344
